Time,srad
"Oct 1, 2010","2,328"
"Nov 1, 2010","1,778"
"Dec 1, 2010","1,861"
"Jan 1, 2011","2,050"
"Feb 1, 2011","2,374"
"Mar 1, 2011","2,759"
"Apr 1, 2011","2,994"
"May 1, 2011","3,059"
"Jun 1, 2011","2,468"
"Jul 1, 2011","1,507"
"Aug 1, 2011","1,433"
"Sep 1, 2011","1,652"
"Oct 1, 2011","2,345"
"Nov 1, 2011","2,063"
"Dec 1, 2011","1,891"
"Jan 1, 2012","2,031"
"Feb 1, 2012","2,415"
"Mar 1, 2012","2,805"
"Apr 1, 2012","2,940"
"May 1, 2012","3,098"
"Jun 1, 2012","2,570"
"Jul 1, 2012","1,983"
"Aug 1, 2012","1,757"
"Sep 1, 2012","1,719"
"Oct 1, 2012","2,345"
"Nov 1, 2012","2,136"
"Dec 1, 2012","1,861"
"Jan 1, 2013","2,038"
"Feb 1, 2013","2,362"
"Mar 1, 2013","2,711"
"Apr 1, 2013","2,957"
"May 1, 2013","3,082"
"Jun 1, 2013","2,072"
"Jul 1, 2013","1,574"
"Aug 1, 2013","1,682"
"Sep 1, 2013","1,955"
"Oct 1, 2013","2,112"
"Nov 1, 2013","2,097"
"Dec 1, 2013","1,873"
"Jan 1, 2014","1,971"
"Feb 1, 2014","2,331"
"Mar 1, 2014","2,704"
"Apr 1, 2014","2,989"
"May 1, 2014","3,041"
"Jun 1, 2014","2,709"
"Jul 1, 2014","1,840"
"Aug 1, 2014","1,842"
"Sep 1, 2014","1,967"
"Oct 1, 2014","2,324"
"Nov 1, 2014","2,040"
"Dec 1, 2014","1,871"
"Jan 1, 2015","1,961"
"Feb 1, 2015","2,347"
"Mar 1, 2015","2,607"
"Apr 1, 2015","2,917"
"May 1, 2015","3,094"
"Jun 1, 2015","2,379"
"Jul 1, 2015","1,915"
"Aug 1, 2015","2,039"
"Sep 1, 2015","2,249"
"Oct 1, 2015","2,321"
"Nov 1, 2015","2,063"
"Dec 1, 2015","1,909"
"Jan 1, 2016","2,012"
"Feb 1, 2016","2,363"
"Mar 1, 2016","2,684"
"Apr 1, 2016","2,975"
"May 1, 2016","2,996"
"Jun 1, 2016","2,482"
"Jul 1, 2016","1,645"
"Aug 1, 2016","1,420"
"Sep 1, 2016","2,221"
"Oct 1, 2016","2,028"
"Nov 1, 2016","2,156"
"Dec 1, 2016","1,897"
"Jan 1, 2017","1,987"
"Feb 1, 2017","2,387"
"Mar 1, 2017","2,734"
"Apr 1, 2017","3,055"
"May 1, 2017","3,057"
"Jun 1, 2017","2,405"
"Jul 1, 2017","1,329"
"Aug 1, 2017","1,827"
"Sep 1, 2017","2,255"
"Oct 1, 2017","2,356"
"Nov 1, 2017","2,114"
"Dec 1, 2017","1,606"
"Jan 1, 2018","2,020"
"Feb 1, 2018","2,320"
"Mar 1, 2018","2,711"
"Apr 1, 2018","2,975"
"May 1, 2018","3,085"
"Jun 1, 2018","2,707"
"Jul 1, 2018","1,731"
"Aug 1, 2018","1,870"
"Sep 1, 2018","2,065"
"Oct 1, 2018","2,275"
"Nov 1, 2018","2,129"
"Dec 1, 2018","1,878"
"Jan 1, 2019","2,061"
"Feb 1, 2019","2,317"
"Mar 1, 2019","2,700"
"Apr 1, 2019","2,983"
"May 1, 2019","3,073"
"Jun 1, 2019","2,522"
"Jul 1, 2019","1,982"
"Aug 1, 2019","1,602"
"Sep 1, 2019","1,509"
"Oct 1, 2019","2,136"
"Nov 1, 2019","1,868"
"Dec 1, 2019","1,777"
