Time,aet
"Jan 1, 2010",124
"Feb 1, 2010",80
"Mar 1, 2010",56
"Apr 1, 2010",47
"May 1, 2010",35
"Jun 1, 2010",717
"Jul 1, 2010","1,241"
"Aug 1, 2010","1,054"
"Sep 1, 2010","1,250"
"Oct 1, 2010",924
"Nov 1, 2010",602
"Dec 1, 2010",384
"Jan 1, 2011",365
"Feb 1, 2011",279
"Mar 1, 2011",146
"Apr 1, 2011",93
"May 1, 2011",69
"Jun 1, 2011",378
"Jul 1, 2011","1,155"
"Aug 1, 2011","1,037"
"Sep 1, 2011","1,084"
"Oct 1, 2011",843
"Nov 1, 2011",486
"Dec 1, 2011",334
"Jan 1, 2012",300
"Feb 1, 2012",180
"Mar 1, 2012",108
"Apr 1, 2012",112
"May 1, 2012",74
"Jun 1, 2012",381
"Jul 1, 2012",881
"Aug 1, 2012","1,237"
"Sep 1, 2012","1,153"
"Oct 1, 2012",838
"Nov 1, 2012",485
"Dec 1, 2012",355
"Jan 1, 2013",331
"Feb 1, 2013",197
"Mar 1, 2013",146
"Apr 1, 2013",134
"May 1, 2013",61
"Jun 1, 2013","1,233"
"Jul 1, 2013","1,210"
"Aug 1, 2013","1,180"
"Sep 1, 2013","1,295"
"Oct 1, 2013","1,001"
"Nov 1, 2013",580
"Dec 1, 2013",418
"Jan 1, 2014",517
"Feb 1, 2014",317
"Mar 1, 2014",161
"Apr 1, 2014",210
"May 1, 2014",79
"Jun 1, 2014",99
"Jul 1, 2014","1,430"
"Aug 1, 2014","1,242"
"Sep 1, 2014","1,251"
"Oct 1, 2014",899
"Nov 1, 2014",493
"Dec 1, 2014",402
"Jan 1, 2015",377
"Feb 1, 2015",241
"Mar 1, 2015",184
"Apr 1, 2015",314
"May 1, 2015",128
"Jun 1, 2015","1,454"
"Jul 1, 2015","1,553"
"Aug 1, 2015",924
"Sep 1, 2015","1,100"
"Oct 1, 2015",472
"Nov 1, 2015",226
"Dec 1, 2015",120
"Jan 1, 2016",79
"Feb 1, 2016",57
"Mar 1, 2016",78
"Apr 1, 2016",34
"May 1, 2016",61
"Jun 1, 2016",734
"Jul 1, 2016","1,269"
"Aug 1, 2016","1,005"
"Sep 1, 2016","1,207"
"Oct 1, 2016",858
"Nov 1, 2016",487
"Dec 1, 2016",372
"Jan 1, 2017",341
"Feb 1, 2017",231
"Mar 1, 2017",132
"Apr 1, 2017",87
"May 1, 2017",100
"Jun 1, 2017","1,300"
"Jul 1, 2017","1,037"
"Aug 1, 2017","1,251"
"Sep 1, 2017","1,234"
"Oct 1, 2017",855
"Nov 1, 2017",457
"Dec 1, 2017",386
"Jan 1, 2018",257
"Feb 1, 2018",173
"Mar 1, 2018",105
"Apr 1, 2018",93
"May 1, 2018",58
"Jun 1, 2018",567
"Jul 1, 2018","1,387"
"Aug 1, 2018","1,333"
"Sep 1, 2018",854
"Oct 1, 2018",471
"Nov 1, 2018",218
"Dec 1, 2018",125
"Jan 1, 2019",82
"Feb 1, 2019",58
"Mar 1, 2019",45
"Apr 1, 2019",100
"May 1, 2019",48
"Jun 1, 2019",847
"Jul 1, 2019","1,242"
"Aug 1, 2019","1,147"
"Sep 1, 2019",933
"Oct 1, 2019","1,022"
"Nov 1, 2019",548
"Dec 1, 2019",470
