  year month   day    cycle    trend
  2011     6     1   391.94   390.48
  2011     6     2   391.91   390.49
  2011     6     3   391.88   390.49
  2011     6     4   391.85   390.49
  2011     6     5   391.81   390.50
  2011     6     6   391.78   390.50
  2011     6     7   391.74   390.51
  2011     6     8   391.70   390.51
  2011     6     9   391.65   390.52
  2011     6    10   391.61   390.52
  2011     6    11   391.56   390.52
  2011     6    12   391.51   390.53
  2011     6    13   391.46   390.53
  2011     6    14   391.41   390.54
  2011     6    15   391.35   390.54
  2011     6    16   391.30   390.55
  2011     6    17   391.24   390.55
  2011     6    18   391.18   390.55
  2011     6    19   391.12   390.56
  2011     6    20   391.05   390.56
  2011     6    21   390.99   390.57
  2011     6    22   390.92   390.57
  2011     6    23   390.85   390.58
  2011     6    24   390.78   390.58
  2011     6    25   390.71   390.58
  2011     6    26   390.63   390.59
  2011     6    27   390.56   390.59
  2011     6    28   390.48   390.60
  2011     6    29   390.40   390.60
  2011     6    30   390.32   390.60
  2011     7     1   390.24   390.61
  2011     7     2   390.16   390.61
  2011     7     3   390.08   390.62
  2011     7     4   389.99   390.62
  2011     7     5   389.91   390.63
  2011     7     6   389.82   390.63
  2011     7     7   389.74   390.63
  2011     7     8   389.65   390.64
  2011     7     9   389.56   390.64
  2011     7    10   389.48   390.65
  2011     7    11   389.39   390.65
  2011     7    12   389.30   390.66
  2011     7    13   389.22   390.66
  2011     7    14   389.13   390.66
  2011     7    15   389.04   390.67
  2011     7    16   388.96   390.67
  2011     7    17   388.87   390.68
  2011     7    18   388.79   390.68
  2011     7    19   388.71   390.69
  2011     7    20   388.63   390.69
  2011     7    21   388.55   390.69
  2011     7    22   388.47   390.70
  2011     7    23   388.39   390.70
  2011     7    24   388.31   390.71
  2011     7    25   388.24   390.71
  2011     7    26   388.17   390.71
  2011     7    27   388.09   390.72
  2011     7    28   388.03   390.72
  2011     7    29   387.96   390.73
  2011     7    30   387.90   390.73
  2011     7    31   387.83   390.74
  2011     8     1   387.78   390.74
  2011     8     2   387.72   390.74
  2011     8     3   387.66   390.75
  2011     8     4   387.61   390.75
  2011     8     5   387.56   390.76
  2011     8     6   387.52   390.76
  2011     8     7   387.47   390.77
  2011     8     8   387.43   390.77
  2011     8     9   387.39   390.77
  2011     8    10   387.36   390.78
  2011     8    11   387.33   390.78
  2011     8    12   387.30   390.79
  2011     8    13   387.27   390.79
  2011     8    14   387.25   390.80
  2011     8    15   387.23   390.80
  2011     8    16   387.21   390.80
  2011     8    17   387.19   390.81
  2011     8    18   387.18   390.81
  2011     8    19   387.17   390.82
  2011     8    20   387.17   390.82
  2011     8    21   387.16   390.83
  2011     8    22   387.16   390.83
  2011     8    23   387.16   390.83
  2011     8    24   387.16   390.84
  2011     8    25   387.17   390.84
  2011     8    26   387.18   390.85
  2011     8    27   387.19   390.85
  2011     8    28   387.20   390.86
  2011     8    29   387.21   390.86
  2011     8    30   387.23   390.86
  2011     8    31   387.25   390.87
  2011     9     1   387.27   390.87
  2011     9     2   387.29   390.88
  2011     9     3   387.32   390.88
  2011     9     4   387.34   390.89
  2011     9     5   387.37   390.89
  2011     9     6   387.40   390.89
  2011     9     7   387.43   390.90
  2011     9     8   387.46   390.90
  2011     9     9   387.49   390.91
  2011     9    10   387.52   390.91
  2011     9    11   387.56   390.92
  2011     9    12   387.60   390.92
  2011     9    13   387.63   390.92
  2011     9    14   387.67   390.93
  2011     9    15   387.71   390.93
  2011     9    16   387.75   390.94
  2011     9    17   387.79   390.94
  2011     9    18   387.83   390.95
  2011     9    19   387.87   390.95
  2011     9    20   387.92   390.95
  2011     9    21   387.96   390.96
  2011     9    22   388.01   390.96
  2011     9    23   388.05   390.97
  2011     9    24   388.10   390.97
  2011     9    25   388.14   390.98
  2011     9    26   388.19   390.98
  2011     9    27   388.24   390.99
  2011     9    28   388.29   390.99
  2011     9    29   388.33   390.99
  2011     9    30   388.38   391.00
  2011    10     1   388.43   391.00
  2011    10     2   388.48   391.01
  2011    10     3   388.53   391.01
  2011    10     4   388.59   391.02
  2011    10     5   388.64   391.02
  2011    10     6   388.69   391.03
  2011    10     7   388.75   391.03
  2011    10     8   388.80   391.03
  2011    10     9   388.85   391.04
  2011    10    10   388.91   391.04
  2011    10    11   388.97   391.05
  2011    10    12   389.02   391.05
  2011    10    13   389.08   391.06
  2011    10    14   389.14   391.06
  2011    10    15   389.19   391.07
  2011    10    16   389.25   391.07
  2011    10    17   389.31   391.07
  2011    10    18   389.37   391.08
  2011    10    19   389.43   391.08
  2011    10    20   389.50   391.09
  2011    10    21   389.56   391.09
  2011    10    22   389.62   391.10
  2011    10    23   389.68   391.10
  2011    10    24   389.74   391.11
  2011    10    25   389.81   391.11
  2011    10    26   389.87   391.12
  2011    10    27   389.94   391.12
  2011    10    28   390.00   391.12
  2011    10    29   390.07   391.13
  2011    10    30   390.13   391.13
  2011    10    31   390.20   391.14
  2011    11     1   390.26   391.14
  2011    11     2   390.33   391.15
  2011    11     3   390.39   391.15
  2011    11     4   390.46   391.16
  2011    11     5   390.52   391.16
  2011    11     6   390.59   391.17
  2011    11     7   390.65   391.17
  2011    11     8   390.71   391.17
  2011    11     9   390.78   391.18
  2011    11    10   390.84   391.18
  2011    11    11   390.90   391.19
  2011    11    12   390.97   391.19
  2011    11    13   391.03   391.20
  2011    11    14   391.09   391.20
  2011    11    15   391.15   391.21
  2011    11    16   391.21   391.21
  2011    11    17   391.27   391.22
  2011    11    18   391.33   391.22
  2011    11    19   391.39   391.23
  2011    11    20   391.44   391.23
  2011    11    21   391.50   391.24
  2011    11    22   391.55   391.24
  2011    11    23   391.60   391.25
  2011    11    24   391.66   391.25
  2011    11    25   391.71   391.25
  2011    11    26   391.76   391.26
  2011    11    27   391.81   391.26
  2011    11    28   391.86   391.27
  2011    11    29   391.90   391.27
  2011    11    30   391.95   391.28
  2011    12     1   391.99   391.28
  2011    12     2   392.04   391.29
  2011    12     3   392.08   391.29
  2011    12     4   392.12   391.30
  2011    12     5   392.16   391.30
  2011    12     6   392.20   391.31
  2011    12     7   392.23   391.31
  2011    12     8   392.27   391.32
  2011    12     9   392.31   391.32
  2011    12    10   392.34   391.33
  2011    12    11   392.37   391.33
  2011    12    12   392.41   391.34
  2011    12    13   392.44   391.34
  2011    12    14   392.47   391.35
  2011    12    15   392.50   391.35
  2011    12    16   392.53   391.36
  2011    12    17   392.55   391.36
  2011    12    18   392.58   391.37
  2011    12    19   392.61   391.37
  2011    12    20   392.63   391.38
  2011    12    21   392.65   391.38
  2011    12    22   392.68   391.39
  2011    12    23   392.70   391.39
  2011    12    24   392.72   391.40
  2011    12    25   392.74   391.40
  2011    12    26   392.77   391.41
  2011    12    27   392.79   391.41
  2011    12    28   392.80   391.42
  2011    12    29   392.82   391.42
  2011    12    30   392.84   391.43
  2011    12    31   392.86   391.43
  2012     1     1   392.88   391.44
  2012     1     2   392.89   391.44
  2012     1     3   392.91   391.45
  2012     1     4   392.93   391.45
  2012     1     5   392.94   391.46
  2012     1     6   392.96   391.46
  2012     1     7   392.97   391.47
  2012     1     8   392.99   391.47
  2012     1     9   393.00   391.48
  2012     1    10   393.01   391.48
  2012     1    11   393.03   391.49
  2012     1    12   393.04   391.49
  2012     1    13   393.05   391.50
  2012     1    14   393.06   391.50
  2012     1    15   393.07   391.51
  2012     1    16   393.08   391.51
  2012     1    17   393.09   391.52
  2012     1    18   393.10   391.52
  2012     1    19   393.11   391.53
  2012     1    20   393.12   391.53
  2012     1    21   393.13   391.54
  2012     1    22   393.14   391.54
  2012     1    23   393.15   391.55
  2012     1    24   393.15   391.55
  2012     1    25   393.16   391.56
  2012     1    26   393.17   391.56
  2012     1    27   393.17   391.57
  2012     1    28   393.18   391.57
  2012     1    29   393.19   391.58
  2012     1    30   393.19   391.58
  2012     1    31   393.20   391.59
  2012     2     1   393.20   391.60
  2012     2     2   393.20   391.60
  2012     2     3   393.21   391.61
  2012     2     4   393.21   391.61
  2012     2     5   393.22   391.62
  2012     2     6   393.22   391.62
  2012     2     7   393.22   391.63
  2012     2     8   393.22   391.63
  2012     2     9   393.23   391.64
  2012     2    10   393.23   391.64
  2012     2    11   393.23   391.65
  2012     2    12   393.23   391.65
  2012     2    13   393.24   391.66
  2012     2    14   393.24   391.67
  2012     2    15   393.24   391.67
  2012     2    16   393.24   391.68
  2012     2    17   393.25   391.68
  2012     2    18   393.25   391.69
  2012     2    19   393.25   391.69
  2012     2    20   393.25   391.70
  2012     2    21   393.26   391.70
  2012     2    22   393.26   391.71
  2012     2    23   393.27   391.71
  2012     2    24   393.27   391.72
  2012     2    25   393.28   391.73
  2012     2    26   393.28   391.73
  2012     2    27   393.29   391.74
  2012     2    28   393.29   391.74
  2012     2    29   393.30   391.75
  2012     3     1   393.31   391.75
  2012     3     2   393.31   391.76
  2012     3     3   393.32   391.76
  2012     3     4   393.33   391.77
  2012     3     5   393.34   391.78
  2012     3     6   393.35   391.78
  2012     3     7   393.36   391.79
  2012     3     8   393.37   391.79
  2012     3     9   393.39   391.80
  2012     3    10   393.40   391.80
  2012     3    11   393.41   391.81
  2012     3    12   393.43   391.82
  2012     3    13   393.44   391.82
  2012     3    14   393.46   391.83
  2012     3    15   393.47   391.83
  2012     3    16   393.49   391.84
  2012     3    17   393.51   391.84
  2012     3    18   393.52   391.85
  2012     3    19   393.54   391.86
  2012     3    20   393.56   391.86
  2012     3    21   393.58   391.87
  2012     3    22   393.60   391.87
  2012     3    23   393.62   391.88
  2012     3    24   393.64   391.89
  2012     3    25   393.66   391.89
  2012     3    26   393.69   391.90
  2012     3    27   393.71   391.90
  2012     3    28   393.73   391.91
  2012     3    29   393.75   391.91
  2012     3    30   393.78   391.92
  2012     3    31   393.80   391.93
  2012     4     1   393.82   391.93
  2012     4     2   393.85   391.94
  2012     4     3   393.87   391.94
  2012     4     4   393.89   391.95
  2012     4     5   393.92   391.96
  2012     4     6   393.94   391.96
  2012     4     7   393.96   391.97
  2012     4     8   393.99   391.97
  2012     4     9   394.01   391.98
  2012     4    10   394.03   391.99
  2012     4    11   394.05   391.99
  2012     4    12   394.08   392.00
  2012     4    13   394.10   392.00
  2012     4    14   394.12   392.01
  2012     4    15   394.14   392.02
  2012     4    16   394.16   392.02
  2012     4    17   394.18   392.03
  2012     4    18   394.20   392.04
  2012     4    19   394.22   392.04
  2012     4    20   394.24   392.05
  2012     4    21   394.25   392.05
  2012     4    22   394.27   392.06
  2012     4    23   394.29   392.07
  2012     4    24   394.30   392.07
  2012     4    25   394.32   392.08
  2012     4    26   394.33   392.08
  2012     4    27   394.34   392.09
  2012     4    28   394.35   392.10
  2012     4    29   394.36   392.10
  2012     4    30   394.37   392.11
  2012     5     1   394.38   392.12
  2012     5     2   394.39   392.12
  2012     5     3   394.40   392.13
  2012     5     4   394.40   392.13
  2012     5     5   394.41   392.14
  2012     5     6   394.41   392.15
  2012     5     7   394.41   392.15
  2012     5     8   394.41   392.16
  2012     5     9   394.41   392.17
  2012     5    10   394.41   392.17
  2012     5    11   394.40   392.18
  2012     5    12   394.40   392.19
  2012     5    13   394.39   392.19
  2012     5    14   394.39   392.20
  2012     5    15   394.38   392.20
  2012     5    16   394.37   392.21
  2012     5    17   394.35   392.22
  2012     5    18   394.34   392.22
  2012     5    19   394.32   392.23
  2012     5    20   394.31   392.24
  2012     5    21   394.29   392.24
  2012     5    22   394.27   392.25
  2012     5    23   394.24   392.26
  2012     5    24   394.22   392.26
  2012     5    25   394.19   392.27
  2012     5    26   394.17   392.28
  2012     5    27   394.14   392.28
  2012     5    28   394.11   392.29
  2012     5    29   394.07   392.30
  2012     5    30   394.04   392.30
  2012     5    31   394.00   392.31
  2012     6     1   393.96   392.32
  2012     6     2   393.92   392.32
  2012     6     3   393.88   392.33
  2012     6     4   393.83   392.34
  2012     6     5   393.79   392.34
  2012     6     6   393.74   392.35
  2012     6     7   393.69   392.36
  2012     6     8   393.63   392.36
  2012     6     9   393.58   392.37
  2012     6    10   393.52   392.38
  2012     6    11   393.46   392.38
  2012     6    12   393.40   392.39
  2012     6    13   393.34   392.40
  2012     6    14   393.28   392.40
  2012     6    15   393.21   392.41
  2012     6    16   393.14   392.42
  2012     6    17   393.07   392.42
  2012     6    18   393.00   392.43
  2012     6    19   392.93   392.44
  2012     6    20   392.85   392.44
  2012     6    21   392.78   392.45
  2012     6    22   392.70   392.46
  2012     6    23   392.62   392.47
  2012     6    24   392.54   392.47
  2012     6    25   392.46   392.48
