Time,LST_Day_1km
"Oct 8, 2010","15,417"
"Oct 16, 2010","15,411"
"Oct 24, 2010","15,378"
"Nov 1, 2010","15,360"
"Nov 9, 2010","15,301"
"Nov 17, 2010","15,279"
"Nov 25, 2010","15,127"
"Dec 3, 2010","15,045"
"Dec 11, 2010","14,992"
"Dec 19, 2010","15,019"
"Dec 27, 2010","14,967"
"Jan 1, 2011","14,918"
"Jan 9, 2011","14,977"
"Jan 17, 2011","15,059"
"Jan 25, 2011","15,061"
"Feb 2, 2011","15,179"
"Feb 10, 2011","15,214"
"Feb 18, 2011","15,250"
"Feb 26, 2011","15,355"
"Mar 6, 2011","15,506"
"Mar 14, 2011","15,637"
"Mar 22, 2011","15,680"
"Mar 30, 2011","15,546"
"Apr 7, 2011","15,701"
"Apr 15, 2011","15,743"
"Apr 23, 2011","15,772"
"May 1, 2011","15,659"
"May 9, 2011","15,729"
"May 17, 2011","15,635"
"May 25, 2011","15,736"
"Jun 2, 2011","15,465"
"Jun 10, 2011","15,247"
"Jun 18, 2011",
"Jun 26, 2011","15,394"
"Jul 4, 2011",
"Jul 12, 2011",
"Jul 20, 2011",
"Jul 28, 2011",
"Aug 5, 2011",
"Aug 13, 2011",
"Aug 21, 2011",
"Aug 29, 2011",
"Sep 6, 2011",
"Sep 14, 2011","15,223"
"Sep 22, 2011","15,338"
"Sep 30, 2011","15,411"
"Oct 8, 2011","15,468"
"Oct 16, 2011","15,486"
"Oct 24, 2011","15,407"
"Nov 1, 2011","15,400"
"Nov 9, 2011","15,392"
"Nov 17, 2011","15,329"
"Nov 25, 2011","15,190"
"Dec 3, 2011","15,257"
"Dec 11, 2011","15,055"
"Dec 19, 2011","15,053"
"Dec 27, 2011","14,957"
"Jan 1, 2012","14,941"
"Jan 9, 2012","14,912"
"Jan 17, 2012","14,934"
"Jan 25, 2012","15,034"
"Feb 2, 2012","15,034"
"Feb 10, 2012","15,072"
"Feb 18, 2012","15,291"
"Feb 26, 2012","15,317"
"Mar 5, 2012","15,277"
"Mar 13, 2012","15,517"
"Mar 21, 2012","15,609"
"Mar 29, 2012","15,680"
"Apr 6, 2012","15,715"
"Apr 14, 2012","15,579"
"Apr 22, 2012","15,680"
"Apr 30, 2012","15,687"
"May 8, 2012","15,684"
"May 16, 2012","15,750"
"May 24, 2012","15,666"
"Jun 1, 2012","15,440"
"Jun 9, 2012","15,550"
"Jun 17, 2012","15,351"
"Jun 25, 2012","15,429"
"Jul 3, 2012",
"Jul 11, 2012",
"Jul 19, 2012",
"Jul 27, 2012",
"Aug 4, 2012",
"Aug 12, 2012",
"Aug 20, 2012",
"Aug 28, 2012",
"Sep 5, 2012",
"Sep 13, 2012","15,243"
"Sep 21, 2012","15,372"
"Sep 29, 2012","15,402"
"Oct 7, 2012","15,503"
"Oct 15, 2012","15,445"
"Oct 23, 2012","15,410"
"Oct 31, 2012","15,281"
"Nov 8, 2012","15,302"
"Nov 16, 2012","15,231"
"Nov 24, 2012","15,222"
"Dec 2, 2012","15,114"
"Dec 10, 2012","15,148"
"Dec 18, 2012","15,062"
"Dec 26, 2012","15,011"
"Jan 1, 2013","14,917"
