Time,LST_Night_1km
"Oct 8, 2010","14,993"
"Oct 16, 2010","15,009"
"Oct 24, 2010","14,890"
"Nov 1, 2010","14,805"
"Nov 9, 2010",
"Nov 17, 2010","14,838"
"Nov 25, 2010","14,727"
"Dec 3, 2010","14,608"
"Dec 11, 2010","14,435"
"Dec 19, 2010","14,485"
"Dec 27, 2010","14,488"
"Jan 1, 2011","14,395"
"Jan 9, 2011","14,436"
"Jan 17, 2011","14,522"
"Jan 25, 2011","14,564"
"Feb 2, 2011","14,668"
"Feb 10, 2011","14,678"
"Feb 18, 2011","14,675"
"Feb 26, 2011","14,757"
"Mar 6, 2011","14,775"
"Mar 14, 2011","14,987"
"Mar 22, 2011","14,953"
"Mar 30, 2011","14,940"
"Apr 7, 2011","15,045"
"Apr 15, 2011","15,045"
"Apr 23, 2011","15,097"
"May 1, 2011","15,103"
"May 9, 2011","15,152"
"May 17, 2011","15,105"
"May 25, 2011","15,191"
"Jun 2, 2011","15,061"
"Jun 10, 2011","14,983"
"Jun 18, 2011","15,025"
"Jun 26, 2011","14,842"
"Jul 4, 2011","15,041"
"Jul 12, 2011",
"Jul 20, 2011","15,035"
"Jul 28, 2011",
"Aug 5, 2011",
"Aug 13, 2011",
"Aug 21, 2011",
"Aug 29, 2011",
"Sep 6, 2011","14,865"
"Sep 14, 2011","14,835"
"Sep 22, 2011","14,940"
"Sep 30, 2011","14,991"
"Oct 8, 2011","15,034"
"Oct 16, 2011","14,955"
"Oct 24, 2011","14,890"
"Nov 1, 2011","14,905"
"Nov 9, 2011","14,881"
"Nov 17, 2011","14,785"
"Nov 25, 2011","14,702"
"Dec 3, 2011","14,788"
"Dec 11, 2011","14,504"
"Dec 19, 2011","14,559"
"Dec 27, 2011","14,480"
"Jan 1, 2012","14,450"
"Jan 9, 2012","14,411"
"Jan 17, 2012","14,424"
"Jan 25, 2012","14,511"
"Feb 2, 2012","14,451"
"Feb 10, 2012","14,531"
"Feb 18, 2012","14,656"
"Feb 26, 2012","14,749"
"Mar 5, 2012","14,652"
"Mar 13, 2012","14,851"
"Mar 21, 2012","14,920"
"Mar 29, 2012","15,106"
"Apr 6, 2012","15,066"
"Apr 14, 2012","15,001"
"Apr 22, 2012","15,077"
"Apr 30, 2012","15,043"
"May 8, 2012","15,161"
"May 16, 2012","15,189"
"May 24, 2012","15,166"
"Jun 1, 2012","15,144"
"Jun 9, 2012","15,034"
"Jun 17, 2012","15,030"
"Jun 25, 2012","15,055"
"Jul 3, 2012",
"Jul 11, 2012",
"Jul 19, 2012",
"Jul 27, 2012",
"Aug 4, 2012",
"Aug 12, 2012",
"Aug 20, 2012",
"Aug 28, 2012",
"Sep 5, 2012",
"Sep 13, 2012","14,861"
"Sep 21, 2012","14,986"
"Sep 29, 2012","15,033"
"Oct 7, 2012","14,981"
"Oct 15, 2012","14,933"
"Oct 23, 2012","14,832"
"Oct 31, 2012","14,696"
"Nov 8, 2012","14,737"
"Nov 16, 2012","14,636"
"Nov 24, 2012","14,647"
"Dec 2, 2012","14,690"
"Dec 10, 2012","14,688"
"Dec 18, 2012","14,547"
"Dec 26, 2012","14,459"
"Jan 1, 2013","14,384"
"Jan 9, 2013","14,532"
"Jan 17, 2013","14,451"
"Jan 25, 2013","14,525"
"Feb 2, 2013","14,523"
"Feb 10, 2013","14,700"
"Feb 18, 2013","14,680"
"Feb 26, 2013","14,733"
"Mar 6, 2013","14,863"
"Mar 14, 2013","14,915"
"Mar 22, 2013","14,928"
"Mar 30, 2013","15,018"
"Apr 7, 2013","15,012"
"Apr 15, 2013","14,964"
"Apr 23, 2013","15,199"
"May 1, 2013","15,179"
"May 9, 2013","15,133"
"May 17, 2013","15,216"
"May 25, 2013","15,093"
"Jun 2, 2013","15,141"
"Jun 10, 2013",
"Jun 18, 2013","14,922"
"Jun 26, 2013","14,953"
"Jul 4, 2013",
"Jul 12, 2013",
"Jul 20, 2013",
"Jul 28, 2013",
"Aug 5, 2013",
"Aug 13, 2013",
"Aug 21, 2013",
"Aug 29, 2013","14,899"
"Sep 6, 2013","15,022"
"Sep 14, 2013","14,960"
"Sep 22, 2013",
"Sep 30, 2013","14,890"
"Oct 8, 2013","14,994"
"Oct 16, 2013","14,930"
"Oct 24, 2013","14,873"
"Nov 1, 2013","14,869"
"Nov 9, 2013","14,724"
"Nov 17, 2013","14,615"
"Nov 25, 2013","14,709"
"Dec 3, 2013","14,609"
"Dec 11, 2013","14,544"
"Dec 19, 2013","14,506"
"Dec 27, 2013","14,493"
"Jan 1, 2014","14,504"
"Jan 9, 2014","14,424"
"Jan 17, 2014","14,509"
"Jan 25, 2014","14,594"
"Feb 2, 2014","14,661"
"Feb 10, 2014","14,563"
"Feb 18, 2014","14,624"
"Feb 26, 2014","14,607"
"Mar 6, 2014","14,774"
"Mar 14, 2014","14,936"
"Mar 22, 2014","14,953"
"Mar 30, 2014","15,035"
"Apr 7, 2014","15,050"
"Apr 15, 2014","15,113"
"Apr 23, 2014","15,176"
